Instance type,Instance family,Instance size,Availability zones,Free tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand Ubuntu Pro pricing,ENA Express support,ENA queues support
r7gd.large,r7gd,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,arm64,2,"1,2",1,1,2.6,16,118,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,630,3600,78.75,10000,40000,1250,-,0.1361 USD per Hour,0.1924 USD per Hour,0.1649 USD per Hour,0.1396 USD per Hour,false,false
r8i.large,r8i,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.9,16,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,20,20,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,650,3600,81.25,10000,40000,1250,0.23092 USD per Hour,0.13892 USD per Hour,0.19522 USD per Hour,0.16772 USD per Hour,0.14242 USD per Hour,false,true
m6in.large,m6in,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.5,8,0,-,-,0,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,1562,6250,195.3125,25000,100000,3125,0.23123 USD per Hour,0.13923 USD per Hour,0.19553 USD per Hour,0.16803 USD per Hour,0.14273 USD per Hour,false,true
r5d.large,r5d,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.1,16,75,true,ssd,1,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,650,3600,81.25,4750,18750,593.75,0.236 USD per Hour,0.144 USD per Hour,0.2 USD per Hour,0.173 USD per Hour,0.148 USD per Hour,false,false
is4gen.medium,is4gen,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,false,nitro,1,arm64,1,1,1,1,2.5,6,937,true,ssd,1,supported,default,Up to 25 Gigabit,required,2,4,4,true,"cluster, partition, spread",0,0,-,unsupported,ebs,-,true,-,true,625,2500,78.125,10000,40000,1250,-,0.14408 USD per Hour,0.17508 USD per Hour,0.15848 USD per Hour,0.14583 USD per Hour,false,false
c7g.xlarge,c7g,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.6,8,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,1250,6000,156.25039999999998,10000,40000,1250,-,0.145 USD per Hour,0.2013 USD per Hour,0.2026 USD per Hour,0.152 USD per Hour,false,false
m8gn.large,m8gn,large,"us-east-1b, us-east-1c, us-east-1d",false,false,false,nitro,2,arm64,2,"1,2",1,1,2.8,8,0,-,-,0,supported,default,Up to 30 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,1250,5000,156.25,10000,40000,1250,-,0.1455 USD per Hour,0.2018 USD per Hour,0.1743 USD per Hour,0.149 USD per Hour,false,true
m8gb.large,m8gb,large,"us-east-1b, us-east-1c, us-east-1d",false,false,false,nitro,2,arm64,2,"1,2",1,1,2.8,8,0,-,-,0,supported,default,Up to 20 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,3125,15000,390.625,25000,120000,3125,-,0.1455 USD per Hour,0.2018 USD per Hour,0.1743 USD per Hour,0.149 USD per Hour,false,true
r8gd.large,r8gd,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,arm64,2,"1,2",1,1,2.8,16,118,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,630,3600,78.75,10000,40000,1250,-,0.14696 USD per Hour,0.20326 USD per Hour,0.17576 USD per Hour,0.15046 USD per Hour,false,false
r5b.large,r5b,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.1,16,0,-,-,0,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,1250,5417,156.25,10000,43333,1250,0.241 USD per Hour,0.149 USD per Hour,0.2053 USD per Hour,0.1778 USD per Hour,0.1525 USD per Hour,false,false
r5n.large,r5n,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.1,16,0,-,-,0,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,650,3600,81.25,4750,18750,593.75,0.241 USD per Hour,0.149 USD per Hour,0.205 USD per Hour,0.178 USD per Hour,0.153 USD per Hour,false,false
t3a.xlarge,t3a,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,x86_64,2,2,2,"1,2",2.2,16,0,-,-,0,supported,default,Up to 5 Gigabit,required,4,15,15,true,"partition, spread",0,0,true,supported,ebs,-,true,true,true,695,4000,86.875,2780,15700,347.5,0.224 USD per Hour,0.1504 USD per Hour,0.2067 USD per Hour,0.208 USD per Hour,0.1574 USD per Hour,false,false
r6id.large,r6id,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.5,16,118,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,650,3600,81.25,10000,40000,1250,0.2432 USD per Hour,0.1512 USD per Hour,0.2075 USD per Hour,0.18 USD per Hour,0.1547 USD per Hour,false,true
r7a.large,r7a,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,2,"1,2",1,1,3.7,16,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,650,3600,81.25,10000,40000,1250,0.24415 USD per Hour,0.15215 USD per Hour,0.20845 USD per Hour,0.18095 USD per Hour,0.15565 USD per Hour,false,false
c6a.xlarge,c6a,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.6,8,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,1250,6000,156.25,10000,40000,1250,0.337 USD per Hour,0.153 USD per Hour,0.2093 USD per Hour,0.2106 USD per Hour,0.16 USD per Hour,false,false
c6gd.xlarge,c6gd,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.5,8,237,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,1188,6000,148.5,4750,20000,593.75,-,0.1536 USD per Hour,0.2099 USD per Hour,0.2112 USD per Hour,0.1606 USD per Hour,false,false
m6g.xlarge,m6g,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.5,16,0,-,-,0,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,1188,6000,148.5,4750,20000,593.75,-,0.154 USD per Hour,0.2103 USD per Hour,0.2116 USD per Hour,0.161 USD per Hour,false,false
